"日期","标题","作者","版面","文章ID","原文路径"
2026-06-22,"践行正确政绩观要善于“弹钢琴”（思想纵横）","王声啸","理论",people_daily_20260622_30164252,"data/vault/2026/06/2026-06-22/09-理论/践行正确政绩观要善于“弹钢琴”（思想纵横）.md"
2026-06-23,"数据必须实打实（金台潮声·政绩观系列谈）","邓  理","党建",people_daily_20260623_30164528,"data/vault/2026/06/2026-06-23/19-党建/数据必须实打实（金台潮声·政绩观系列谈）.md"
2026-06-26,"大力传承弘扬青藏铁路精神  以正确政绩观推进中国式现代化青海实践","吴晓军","政治",people_daily_20260626_30165080,"data/vault/2026/06/2026-06-26/12-政治/大力传承弘扬青藏铁路精神 以正确政绩观推进中国式现代化青海实践.md"
2026-06-28,"持续用力，推动学习教育走深走实（树立和践行正确政绩观）","","要闻",people_daily_20260628_30165325,"data/vault/2026/06/2026-06-28/01-要闻/持续用力，推动学习教育走深走实（树立和践行正确政绩观）.md"
2026-06-29,"多为群众做好事、办实事、解难事（树立和践行正确政绩观）","","要闻",people_daily_20260629_30165373,"data/vault/2026/06/2026-06-29/01-要闻/多为群众做好事、办实事、解难事（树立和践行正确政绩观）.md"
2026-06-29,"公开通报广西壮族自治区南宁市、甘肃省酒泉市新城区、浙江省杭州市萧山区3起政绩观偏差问题","","要闻",people_daily_20260629_30165390,"data/vault/2026/06/2026-06-29/04-要闻/公开通报广西壮族自治区南宁市、甘肃省酒泉市新城区、浙江省杭州市萧山区3起政绩观偏差问题.md"
2026-06-30,"大处着眼与小处着手（金台潮声·政绩观系列谈）","韩  博","党建",people_daily_20260630_30165740,"data/vault/2026/06/2026-06-30/17-党建/大处着眼与小处着手（金台潮声·政绩观系列谈）.md"
2026-07-06,"以促发展惠民生实际成效检验学习教育成果（树立和践行正确政绩观）","","要闻",people_daily_20260706_30166861,"data/vault/2026/07/2026-07-06/01-要闻/以促发展惠民生实际成效检验学习教育成果（树立和践行正确政绩观）.md"
2026-07-06,"把握好政绩观“近和远”的辩证统一关系（思想纵横）","吴  浩","理论",people_daily_20260706_30166912,"data/vault/2026/07/2026-07-06/09-理论/把握好政绩观“近和远”的辩证统一关系（思想纵横）.md"
2026-07-07,"把政绩考准考精考实（前沿观察·用好考核指挥棒）","董洪亮  王锦涛  宋朝军","党建",people_daily_20260707_30167182,"data/vault/2026/07/2026-07-07/19-党建/把政绩考准考精考实（前沿观察·用好考核指挥棒）.md"
2026-07-08,"把握好政绩观中的“轻”与“重”（思想纵横）","张跃平","理论",people_daily_20260708_30167387,"data/vault/2026/07/2026-07-08/09-理论/把握好政绩观中的“轻”与“重”（思想纵横）.md"
2026-07-09,"为民造福要有“真功夫”（大家谈·树立和践行正确政绩观⑪）","","评论",people_daily_20260709_30167649,"data/vault/2026/07/2026-07-09/05-评论/为民造福要有“真功夫”（大家谈·树立和践行正确政绩观⑪）.md"
2026-07-09,"敢啃“硬骨头”方能创造“硬政绩”（思想纵横）","郭权锋","理论",people_daily_20260709_30167672,"data/vault/2026/07/2026-07-09/09-理论/敢啃“硬骨头”方能创造“硬政绩”（思想纵横）.md"
2026-07-13,"实实在在解决问题（树立和践行正确政绩观）","","要闻",people_daily_20260713_30168294,"data/vault/2026/07/2026-07-13/01-要闻/实实在在解决问题（树立和践行正确政绩观）.md"
2026-07-13,"与矛盾较劲  向问题叫板（大家谈·树立和践行正确政绩观⑫）","","评论",people_daily_20260713_30168316,"data/vault/2026/07/2026-07-13/05-评论/与矛盾较劲 向问题叫板（大家谈·树立和践行正确政绩观⑫）.md"
2026-07-14,"解开“政绩焦虑”，干出为民实绩（思想纵横）","李  斌","理论",people_daily_20260714_30168523,"data/vault/2026/07/2026-07-14/09-理论/解开“政绩焦虑”，干出为民实绩（思想纵横）.md"
2026-07-17,"树立和践行正确政绩观  推动金融高质量发展（调查与思考）","国家发展改革委财金司","理论",people_daily_20260717_30169217,"data/vault/2026/07/2026-07-17/09-理论/树立和践行正确政绩观 推动金融高质量发展（调查与思考）.md"
2026-07-20,"把老百姓关切的事一件一件办好（树立和践行正确政绩观）","","要闻",people_daily_20260720_30169676,"data/vault/2026/07/2026-07-20/01-要闻/把老百姓关切的事一件一件办好（树立和践行正确政绩观）.md"
2026-07-21,"常怀尽责之心，砥砺担责之能（大家谈·树立和践行正确政绩观⑬）","","评论",people_daily_20260721_30169920,"data/vault/2026/07/2026-07-21/05-评论/常怀尽责之心，砥砺担责之能（大家谈·树立和践行正确政绩观⑬）.md"
2026-07-22,"靶向发力  破解难题（树立和践行正确政绩观·一线见闻）","杨  义  杨颜菲","要闻",people_daily_20260722_30170107,"data/vault/2026/07/2026-07-22/01-要闻/靶向发力 破解难题（树立和践行正确政绩观·一线见闻）.md"
2026-07-23,"从克服本位主义、地方保护主义入手端正政绩观（思想纵横）","李  娟","理论",people_daily_20260723_30170484,"data/vault/2026/07/2026-07-23/09-理论/从克服本位主义、地方保护主义入手端正政绩观（思想纵横）.md"
2026-07-24,"以正确政绩观纠治“一刀切”顽疾（思想纵横）","孟佳聪","理论",people_daily_20260724_30170725,"data/vault/2026/07/2026-07-24/09-理论/以正确政绩观纠治“一刀切”顽疾（思想纵横）.md"
2026-07-24,"年轻干部这样把握好潜绩和显绩的关系（人民眼·树立和践行正确政绩观）","","记者调查",people_daily_20260724_30170746,"data/vault/2026/07/2026-07-24/13-记者调查/年轻干部这样把握好潜绩和显绩的关系（人民眼·树立和践行正确政绩观）.md"
2026-07-25,"以实干实效回应群众期盼（树立和践行正确政绩观）","","要闻",people_daily_20260725_30170879,"data/vault/2026/07/2026-07-25/01-要闻/以实干实效回应群众期盼（树立和践行正确政绩观）.md"
2026-07-25,"从上海告别“拎马桶”看正确政绩观（人民论坛）","程  龙","要闻",people_daily_20260725_30170906,"data/vault/2026/07/2026-07-25/04-要闻/从上海告别“拎马桶”看正确政绩观（人民论坛）.md"
2026-07-26,"翠云廊上柏森森（树立和践行正确政绩观·一线见闻）","王永战","要闻",people_daily_20260726_30170976,"data/vault/2026/07/2026-07-26/01-要闻/翠云廊上柏森森（树立和践行正确政绩观·一线见闻）.md"
2026-07-27,"找准为民服务的着力点（大家谈·树立和践行正确政绩观⑭）","","评论",people_daily_20260727_30171089,"data/vault/2026/07/2026-07-27/05-评论/找准为民服务的着力点（大家谈·树立和践行正确政绩观⑭）.md"
2026-07-28,"推动干部转作风、群众得实惠（树立和践行正确政绩观）","","要闻",people_daily_20260728_30171366,"data/vault/2026/07/2026-07-28/01-要闻/推动干部转作风、群众得实惠（树立和践行正确政绩观）.md"
2026-07-30,"我们有了更多信心为居民办实事（树立和践行正确政绩观·一线见闻）","李家鼎","要闻",people_daily_20260730_30171959,"data/vault/2026/07/2026-07-30/01-要闻/我们有了更多信心为居民办实事（树立和践行正确政绩观·一线见闻）.md"
2026-07-30,"拧紧“总开关”，政绩观不走偏（人民论坛）","纪  平","要闻",people_daily_20260730_30171978,"data/vault/2026/07/2026-07-30/04-要闻/拧紧“总开关”，政绩观不走偏（人民论坛）.md"
2026-08-02,"“坚持高质量发展要成为领导干部政绩观的重要内容”（总书记的人民情怀）","赵  成  史一棋","要闻",people_daily_20260802_30172602,"data/vault/2026/08/2026-08-02/01-要闻/“坚持高质量发展要成为领导干部政绩观的重要内容”（总书记的人民情怀）.md"
2026-08-02,"贡水河畔话三变（树立和践行正确政绩观·一线见闻）","田豆豆  吴  君","要闻",people_daily_20260802_30172605,"data/vault/2026/08/2026-08-02/01-要闻/贡水河畔话三变（树立和践行正确政绩观·一线见闻）.md"
2026-08-07,"着力在为民造福上出实招、求实效（树立和践行正确政绩观）","","要闻",people_daily_20260807_30173552,"data/vault/2026/08/2026-08-07/01-要闻/着力在为民造福上出实招、求实效（树立和践行正确政绩观）.md"
2026-08-07,"“拎”“捂”之分体现政绩观成色（思想纵横）","孙琳琼","理论",people_daily_20260807_30173599,"data/vault/2026/08/2026-08-07/09-理论/“拎”“捂”之分体现政绩观成色（思想纵横）.md"
2026-08-10,"以正确政绩观引领海关事业高质量发展","孙梅君","经济",people_daily_20260810_30173945,"data/vault/2026/08/2026-08-10/10-经济/以正确政绩观引领海关事业高质量发展.md"
2026-08-11,"不断创造高质量发展新业绩（树立和践行正确政绩观）","","要闻",people_daily_20260811_30174299,"data/vault/2026/08/2026-08-11/01-要闻/不断创造高质量发展新业绩（树立和践行正确政绩观）.md"
2026-08-13,"将学习教育成果固化为制度机制（树立和践行正确政绩观）","","要闻",people_daily_20260813_30174612,"data/vault/2026/08/2026-08-13/01-要闻/将学习教育成果固化为制度机制（树立和践行正确政绩观）.md"
2026-08-17,"把政绩观锚定在打赢上（金台点兵）","赵泽夏","国防",people_daily_20260817_30175243,"data/vault/2026/08/2026-08-17/15-国防/把政绩观锚定在打赢上（金台点兵）.md"
2026-08-18,"心正  事正  政绩正（思想纵横）","秦  强","理论",people_daily_20260818_30175609,"data/vault/2026/08/2026-08-18/09-理论/心正 事正 政绩正（思想纵横）.md"
